Handle,Title,Body (HTML),Vendor,Standard Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sphere-scratcher-pro,Sphere Scratcher Pro,"<strong data-mce-fragment=""1"">Sphere Scratcher PRO, </strong>with its new design <strong data-mce-fragment=""1"">which makes it even cuter</strong><span data-mce-fragment=""1""> can be used for grinding cat's claws and teeth. It is an </span><strong data-mce-fragment=""1"">attractive</strong><span data-mce-fragment=""1""> and </span><strong data-mce-fragment=""1"">functional</strong><span data-mce-fragment=""1""> scratching surface for feline pets. This </span><strong data-mce-fragment=""1"">Fun, Sustainable</strong><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">&amp;</strong><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">Interactive</strong><span data-mce-fragment=""1""> toy can </span><strong data-mce-fragment=""1"">entertain</strong><span data-mce-fragment=""1""> even the laziest cat for hours, keeping him away from boredom. With the Sphere Scratcher, you can be guaranteed your cat will grow </span><strong data-mce-fragment=""1"">active</strong><span data-mce-fragment=""1"">, and </span><strong data-mce-fragment=""1"">healthy</strong><span data-mce-fragment=""1"">. Benefits: Transforms your cat's life (and yours!): this </span><strong data-mce-fragment=""1"">quality</strong><span data-mce-fragment=""1""> made and </span><strong data-mce-fragment=""1"">super cute</strong><span data-mce-fragment=""1""> scratcher helps prevent the cat from scratching and damaging furniture and other things at home. This will also pair perfectly in every room of your house. </span><strong data-mce-fragment=""1"">Stable</strong><span data-mce-fragment=""1"">, </span><strong data-mce-fragment=""1"">durable</strong><span data-mce-fragment=""1""> woven sisal rope, made to stand the toughest claw, paw and scratches: no flimsy fabric or chenille, the wooden base and the fact that the scratching posts are </span><strong data-mce-fragment=""1"">securely fixed</strong><span data-mce-fragment=""1""> on both ends allow the structure to be </span><strong data-mce-fragment=""1"">firm</strong><span data-mce-fragment=""1""> when your cat uses it for its nails. </span><strong data-mce-fragment=""1"">Healthy &amp; Happy Feline Friend</strong><span data-mce-fragment=""1""> The </span><strong data-mce-fragment=""1"">Sphere Scratcher</strong><span data-mce-fragment=""1""> encourages activity to help improve </span><strong data-mce-fragment=""1"">physical</strong><span data-mce-fragment=""1""> and </span><strong data-mce-fragment=""1"">mental</strong><span data-mce-fragment=""1""> health.</span>",STILLRE,,,"",true,Size,Small,,,,,47839400-small,0.0,shopify,deny,oberlo,34.99,54.99,true,false,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475481.jpg?v=1640787393,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475496.jpg?v=1640787393,kg,,,active
sphere-scratcher-pro,,,,,,,,,Large,,,,,47839400-big,0.0,shopify,deny,oberlo,37.99,57.99,true,false,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475490.jpg?v=1640787393,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475496.jpg?v=1640787393,kg,,,
sphere-scratcher-pro,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475487.jpg?v=1640787393,3,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher-pro,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475496.jpg?v=1640787393,4,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher-pro,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475489.jpg?v=1640787393,5,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher-pro,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475488.jpg?v=1640787393,6,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher-pro,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475483.jpg?v=1640787393,7,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher-pro,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475498.jpg?v=1640787393,8,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher-pro,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1855475497.jpg?v=1640787393,9,,,,,,,,,,,,,,,,,,,,,,
stillre-gift-card-1,Stillre Gift Card,"<span data-mce-fragment=""1"">Looking for something for someone special? A gift card to our store is the perfect idea!</span>",STILLRE,Buoni regalo,,"",true,Amount,"10,00 €",,,,,"",0.0,,deny,gift_card,10.00,,false,false,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/Stillre-logos_white.png?v=1640437143,1,,true,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/Stillre-logos_white.png?v=1640437143,kg,,,active
stillre-gift-card-1,,,,,,,,,"35,00 €",,,,,"",0.0,,deny,gift_card,35.00,,false,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/Stillre-logos_white.png?v=1640437143,kg,,,
stillre-gift-card-1,,,,,,,,,"50,00 €",,,,,"",0.0,,deny,gift_card,50.00,,false,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/Stillre-logos_white.png?v=1640437143,kg,,,
stillre-gift-card-1,,,,,,,,,"100,00 €",,,,,"",0.0,,deny,gift_card,100.00,,false,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/Stillre-logos_white.png?v=1640437143,kg,,,
stillre-gift-card-1,,,,,,,,,"200,00 €",,,,,"",0.0,,deny,gift_card,200.00,,false,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/Stillre-logos_white.png?v=1640437143,kg,,,
sphere-scratcher,Sphere Scratcher,"<p><strong>Sphere Scratcher</strong> can be used for grinding cat's claws and teeth. It is an <strong>attractive</strong> and <strong>functional</strong> scratching surface for feline pets. This <strong>Fun, Sustainable</strong> <strong>&amp;</strong> <strong>Interactive</strong> toy can <strong>entertain</strong> even the laziest cat for hours, keeping him away from boredom. With the Sphere Scratcher, you can be guaranteed your cat will grow <strong>active</strong>, and <strong>healthy</strong>. Benefits: Transforms your cat's life (and yours!): this <strong>quality</strong> made and <strong>super cute</strong> scratcher helps prevent the cat from scratching and damaging furniture and other things at home. This will also pair perfectly in every room of your house. <strong>Stable</strong>, <strong>durable</strong> woven sisal rope, made to stand the toughest claw, paw and scratches: no flimsy fabric or chenille, the wooden base and the fact that the scratching posts are <strong>securely fixed</strong> on both ends allow the structure to be <strong>firm</strong> when your cat uses it for its nails. <strong>Healthy &amp; Happy Feline Friend</strong> The <strong>Sphere Scratcher</strong> encourages activity to help improve <strong>physical</strong> and <strong>mental</strong> health.</p>",STILLRE,Articoli per animali > Animali domestici - Articoli > Articoli per gatti > Giochi per gatti,,"Cat, Scratch, Sphere Scratcher",true,Type,V,Size,Small,,,47040647-V-Small,0.0,shopify,deny,oberlo,26.99,46.99,true,false,"",https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526900.jpg?v=1640429317,1,,false,,"Sphere Scratcher can be used for grinding cat's claws and teeth. It is an attractive and functional scratching surface for feline pets. This Fun, Sustainable & Interactive toy can entertain even the laziest cat for hours, keeping him away from boredom.",,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526900.jpg?v=1640429317,kg,,,active
sphere-scratcher,,,,,,,,,V,,Large,,,47040647-V-Big,0.0,shopify,deny,oberlo,29.99,59.99,true,false,"",https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1831243381.jpg?v=1640429317,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526900.jpg?v=1640429317,kg,,,
sphere-scratcher,,,,,,,,,L,,Small,,,47040647-L-Small,0.0,shopify,deny,oberlo,26.99,46.99,true,false,"",https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526910.jpg?v=1640429317,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526908.jpg?v=1640429317,kg,,,
sphere-scratcher,,,,,,,,,L,,Large,,,23062002-L-Big,0.0,shopify,deny,oberlo,29.99,59.99,true,false,"",https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526908.jpg?v=1640429317,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526908.jpg?v=1640429317,kg,,,
sphere-scratcher,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526915.jpg?v=1640429317,5,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526906.jpg?v=1640429317,6,,,,,,,,,,,,,,,,,,,,,,
sphere-scratcher,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0618/5297/5327/products/product-image-1826526911.jpg?v=1640429317,7,,,,,,,,,,,,,,,,,,,,,,
